Sampling Type,Model,Test Accuracy,F1 Score
Raw Data,SVM,0.8334473324213406,0.7247032221594121
Raw Data,Decision Tree,0.8515731874145007,0.7676659528907923
Raw Data,Random Forest,0.8782489740082079,0.8043956043956044
Under-sampled Data,SVM,0.808982683982684,0.8260226712666338
Under-sampled Data,Decision Tree,0.8165584415584416,0.8146528157463094
Under-sampled Data,Random Forest,0.8609307359307359,0.8639491794600318
Over-sampled Data,SVM,0.84025,0.8525951557093425
Over-sampled Data,Decision Tree,0.88675,0.8862094951017332
Over-sampled Data,Random Forest,0.9075,0.9090462143559489
